"Consolidated Statements of Stockholders Equity (Deficit) - USD ($) shares in Millions, $ in Millions",Total,Common Stock,Additional paid-in capital,Treasury stock,Accumulated deficit,Accumulated other comprehensive income (loss),cik,timestamp,table_url,json_url
"Beginning Balance (shares) at Dec. 27, 2014",,776.0,,,,,0000002488,2021-03-18 11:53:36,https://www.sec.gov/Archives/edgar/data/2488/000000248818000042/R7.htm,https://www.sec.gov/Archives/edgar/data/2488/000000248818000042/index.json
"Beginning balance at Dec. 27, 2014",187.0,8.0,6949.0,-119.0,-6646.0,-5.0,0000002488,2021-03-18 11:53:36,https://www.sec.gov/Archives/edgar/data/2488/000000248818000042/R7.htm,https://www.sec.gov/Archives/edgar/data/2488/000000248818000042/index.json
Net income (loss),-660.0,,,,-660.0,,0000002488,2021-03-18 11:53:36,https://www.sec.gov/Archives/edgar/data/2488/000000248818000042/R7.htm,https://www.sec.gov/Archives/edgar/data/2488/000000248818000042/index.json
Other comprehensive income (loss),-3.0,,,,,-3.0,0000002488,2021-03-18 11:53:36,https://www.sec.gov/Archives/edgar/data/2488/000000248818000042/R7.htm,https://www.sec.gov/Archives/edgar/data/2488/000000248818000042/index.json
"Common stock issued under stock-based compensation plans, net of tax withholding (shares)",,16.0,,,,,0000002488,2021-03-18 11:53:36,https://www.sec.gov/Archives/edgar/data/2488/000000248818000042/R7.htm,https://www.sec.gov/Archives/edgar/data/2488/000000248818000042/index.json
"Common stock issued under stock-based compensation plans, net of tax withholding",1.0,,5.0,-4.0,,,0000002488,2021-03-18 11:53:36,https://www.sec.gov/Archives/edgar/data/2488/000000248818000042/R7.htm,https://www.sec.gov/Archives/edgar/data/2488/000000248818000042/index.json
Stock-based compensation,63.0,,63.0,,,,0000002488,2021-03-18 11:53:36,https://www.sec.gov/Archives/edgar/data/2488/000000248818000042/R7.htm,https://www.sec.gov/Archives/edgar/data/2488/000000248818000042/index.json
"Ending balance at Dec. 26, 2015",-412.0,8.0,7017.0,-123.0,-7306.0,-8.0,0000002488,2021-03-18 11:53:36,https://www.sec.gov/Archives/edgar/data/2488/000000248818000042/R7.htm,https://www.sec.gov/Archives/edgar/data/2488/000000248818000042/index.json
"Ending Balance (shares) at Dec. 26, 2015",,792.0,,,,,0000002488,2021-03-18 11:53:36,https://www.sec.gov/Archives/edgar/data/2488/000000248818000042/R7.htm,https://www.sec.gov/Archives/edgar/data/2488/000000248818000042/index.json
Net income (loss),-497.0,,,,-497.0,,0000002488,2021-03-18 11:53:36,https://www.sec.gov/Archives/edgar/data/2488/000000248818000042/R7.htm,https://www.sec.gov/Archives/edgar/data/2488/000000248818000042/index.json
Other comprehensive income (loss),3.0,,,,,3.0,0000002488,2021-03-18 11:53:36,https://www.sec.gov/Archives/edgar/data/2488/000000248818000042/R7.htm,https://www.sec.gov/Archives/edgar/data/2488/000000248818000042/index.json
"Common stock issued under stock-based compensation plans, net of tax withholding (shares)",,27.0,,,,,0000002488,2021-03-18 11:53:36,https://www.sec.gov/Archives/edgar/data/2488/000000248818000042/R7.htm,https://www.sec.gov/Archives/edgar/data/2488/000000248818000042/index.json
"Common stock issued under stock-based compensation plans, net of tax withholding",16.0,,20.0,-4.0,,,0000002488,2021-03-18 11:53:36,https://www.sec.gov/Archives/edgar/data/2488/000000248818000042/R7.htm,https://www.sec.gov/Archives/edgar/data/2488/000000248818000042/index.json
Stock-based compensation,86.0,,86.0,,,,0000002488,2021-03-18 11:53:36,https://www.sec.gov/Archives/edgar/data/2488/000000248818000042/R7.htm,https://www.sec.gov/Archives/edgar/data/2488/000000248818000042/index.json
"Equity component of the 2.125% Notes, net",305.0,,305.0,,,,0000002488,2021-03-18 11:53:36,https://www.sec.gov/Archives/edgar/data/2488/000000248818000042/R7.htm,https://www.sec.gov/Archives/edgar/data/2488/000000248818000042/index.json
Warrant issued related to sixth amendment to the WSA,240.0,,240.0,,,,0000002488,2021-03-18 11:53:36,https://www.sec.gov/Archives/edgar/data/2488/000000248818000042/R7.htm,https://www.sec.gov/Archives/edgar/data/2488/000000248818000042/index.json
"Issuance of common stock, net of issuance costs (shares)",,115.0,,,,,0000002488,2021-03-18 11:53:36,https://www.sec.gov/Archives/edgar/data/2488/000000248818000042/R7.htm,https://www.sec.gov/Archives/edgar/data/2488/000000248818000042/index.json
"Issuance of common stock, net of issuance costs",667.0,1.0,666.0,,,,0000002488,2021-03-18 11:53:36,https://www.sec.gov/Archives/edgar/data/2488/000000248818000042/R7.htm,https://www.sec.gov/Archives/edgar/data/2488/000000248818000042/index.json
Issuance of common stock to partially settle the 7.00% Notes (shares),,1.0,,,,,0000002488,2021-03-18 11:53:36,https://www.sec.gov/Archives/edgar/data/2488/000000248818000042/R7.htm,https://www.sec.gov/Archives/edgar/data/2488/000000248818000042/index.json
Issuance of common stock to partially settle the 7.00% Notes,8.0,0.0,0.0,8.0,,,0000002488,2021-03-18 11:53:36,https://www.sec.gov/Archives/edgar/data/2488/000000248818000042/R7.htm,https://www.sec.gov/Archives/edgar/data/2488/000000248818000042/index.json
"Ending balance at Dec. 31, 2016",416.0,9.0,8334.0,-119.0,-7803.0,-5.0,0000002488,2021-03-18 11:53:36,https://www.sec.gov/Archives/edgar/data/2488/000000248818000042/R7.htm,https://www.sec.gov/Archives/edgar/data/2488/000000248818000042/index.json
"Ending Balance (shares) at Dec. 31, 2016",935.0,935.0,,,,,0000002488,2021-03-18 11:53:36,https://www.sec.gov/Archives/edgar/data/2488/000000248818000042/R7.htm,https://www.sec.gov/Archives/edgar/data/2488/000000248818000042/index.json
Net income (loss),43.0,,,,43.0,,0000002488,2021-03-18 11:53:36,https://www.sec.gov/Archives/edgar/data/2488/000000248818000042/R7.htm,https://www.sec.gov/Archives/edgar/data/2488/000000248818000042/index.json
Other comprehensive income (loss),11.0,,,,,11.0,0000002488,2021-03-18 11:53:36,https://www.sec.gov/Archives/edgar/data/2488/000000248818000042/R7.htm,https://www.sec.gov/Archives/edgar/data/2488/000000248818000042/index.json
"Common stock issued under stock-based compensation plans, net of tax withholding (shares)",,32.0,,,,,0000002488,2021-03-18 11:53:36,https://www.sec.gov/Archives/edgar/data/2488/000000248818000042/R7.htm,https://www.sec.gov/Archives/edgar/data/2488/000000248818000042/index.json
"Common stock issued under stock-based compensation plans, net of tax withholding",7.0,,20.0,-13.0,,,0000002488,2021-03-18 11:53:36,https://www.sec.gov/Archives/edgar/data/2488/000000248818000042/R7.htm,https://www.sec.gov/Archives/edgar/data/2488/000000248818000042/index.json
Stock-based compensation,97.0,,97.0,,,,0000002488,2021-03-18 11:53:36,https://www.sec.gov/Archives/edgar/data/2488/000000248818000042/R7.htm,https://www.sec.gov/Archives/edgar/data/2488/000000248818000042/index.json
Issuance of common stock to partially settle the 7.00% Notes,37.0,,13.0,24.0,,,0000002488,2021-03-18 11:53:36,https://www.sec.gov/Archives/edgar/data/2488/000000248818000042/R7.htm,https://www.sec.gov/Archives/edgar/data/2488/000000248818000042/index.json
"Ending balance at Dec. 30, 2017",611.0,9.0,8464.0,-108.0,-7760.0,6.0,0000002488,2021-03-18 11:53:36,https://www.sec.gov/Archives/edgar/data/2488/000000248818000042/R7.htm,https://www.sec.gov/Archives/edgar/data/2488/000000248818000042/index.json
"Ending Balance (shares) at Dec. 30, 2017",967.0,967.0,,,,,0000002488,2021-03-18 11:53:36,https://www.sec.gov/Archives/edgar/data/2488/000000248818000042/R7.htm,https://www.sec.gov/Archives/edgar/data/2488/000000248818000042/index.json
